Index,Address,Time Diff between first and last (Mins),Face Attempts,Detected As a Robot At Least Once,Face Match Percentage,FLAG
1,0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,704785.63,1,0,89.32580032660813,0
2,0x0002b44ddb1476db43c868bd494422ee4c136fed,1218216.73,2,0,89.22379793905792,0
3,0x0002bda54cb772d040f779e88eb453cac0daa244,516729.3,1,0,90.41261234235878,0
4,0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,397555.9,1,0,98.42094900769928,0
5,0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,382472.42,1,0,93.74298601900911,0
6,0x000895ad78f4403ecd9468900e68d6ee506136fd,20926.68,1,0,88.19086713971696,0
7,0x000d63fc5df52b0204374c2f5a3249779805d5d1,8660.35,1,0,88.42827145071544,0
8,0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,319828.05,1,0,95.66035494876364,0
9,0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,496.62,1,0,97.99258097972208,0
10,0x0012f247c9f980eea0a9ad06893bfd95c3145794,30572.7,1,0,93.09764568725785,0
11,0x0013e58a315d2e728f11630aa40abfbdddcab304,129540.15,1,0,99.11592664512084,0
12,0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,385961.98,2,0,90.4575407239773,0
13,0x001b28141562bc2601694d27c3f5fda2c06c234c,198900.25,1,0,84.81183863945355,0
14,0x001cb265c5606d79035059686ae5f94c6a4c2c2c,78197.58,2,0,79.887779736896,0
15,0x001cf9871aeaf2acf72f144b16818b7e417b6dda,540061.9,1,0,91.63130167956089,0
16,0x001d54f72af6eae0fdd17009c391426754bec5c2,25802.32,1,0,94.76941673899958,0
17,0x001e6fbcd020823d3161df44bb5da6c34419eecb,280803.43,1,0,93.35958783188397,0
18,0x001eb1e90d25e8c1372c38f2b2a36b49b6634235,842599.05,3,0,94.91641497560805,0
19,0x001f357ca93307571d8cd93d09ce25a3660429af,2318.5,1,0,88.26781130780228,0
20,0x001f99982965a3792077893ecadc7be0c61d613c,329.78,1,0,93.10707877138444,0
21,0x00235134f8335d48cf506b25cc376fc84520588b,113840.02,1,0,100.0,0
